place_coordinates_id,place_id,latitude,longitude,ym_geocode
2209,45953,56.792878,105.775672,"Россия, Иркутская область, Усть-Кут"
2382,46263,54.734773,55.957829,"Россия, Республика Башкортостан, Уфа"
2648,46265,55.899835,53.922040,"Россия, Республика Башкортостан, Агидель"
2208,46426,57.338402,61.894651,"Россия, Свердловская область, Артёмовский"
2263,46495,54.644072,19.892177,"Россия, Калининградская область, Балтийск"
2826,46875,55.154676,124.729200,"Россия, Амурская область, городской округ Тында, Тында"
2262,47139,52.999369,78.645913,"Россия, Алтайский край, Славгород"
2022,47166,64.558186,39.829620,"Россия, Архангельская область, Северодвинск"
2259,47307,50.986969,39.497764,"Россия, Воронежская область, Лиски"
2446,47533,44.660166,45.649966,"Россия, Республика Дагестан, Южно-Сухокумск"
2258,47716,57.005274,61.458114,"Россия, Свердловская область, Асбест"
2021,47752,55.624118,37.844083,"Россия, Московская область, Дзержинский"
2020,47753,54.870621,37.218316,"Россия, Московская область, Протвино"
2445,47757,47.326240,142.793440,"Россия, Сахалинская область, Долинск"
2019,47789,54.913536,37.416763,"Россия, Московская область, Серпухов"
2018,47952,55.599896,38.122336,"Россия, Московская область, город Жуковский"
2257,48077,58.381199,42.347490,"Россия, Костромская область, Галич"
2414,48374,48.472584,135.057732,"Россия, Хабаровск"
2444,48472,58.875802,40.248495,"Россия, Вологодская область, Грязовец"
2017,48614,54.146429,33.283318,"Россия, Смоленская область, Десногорск"
2207,48645,52.483700,39.957899,"Россия, Липецкая область, Грязи"
2443,48866,56.500617,60.818972,"Россия, Свердловская область, Сысерть"
2206,49041,56.065138,85.631024,"Россия, Кемеровская область, Тайга"
2405,49472,63.906890,38.100273,"Россия, Архангельская область, Онега"
2205,49631,55.383055,39.035842,"Россия, Московская область, Егорьевск"
2261,49663,50.400498,36.887871,"Россия, Белгородская область, Шебекино"
2016,49733,56.873338,37.355678,"Россия, Тверская область, Кимры"
2203,49870,54.285935,85.947635,"Россия, Кемеровская область, Гурьевск"
2015,49876,58.048454,38.858433,"Россия, Ярославская область, Рыбинск"
2256,50212,44.887641,40.591364,"Россия, Краснодарский край, Курганинск"
2255,50324,55.715053,51.412883,"Россия, Республика Татарстан, Мамадыш"
2404,50887,48.797909,44.746162,"Россия, Волгоградская область, Волжский"
2254,51103,43.557727,43.857558,"Россия, Кабардино-Балкарская Республика, Урванский район, Нарткала"
2403,51179,44.458432,39.730078,"Россия, Краснодарский край, Апшеронск"
